Continent,Region,Country,Criminality avg.,Criminal markets avg.,Human trafficking,Human smuggling,Extortion and protection racketeering,Arms trafficking,Trade in counterfeit goods,Illicit trade in excisable goods,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Criminal actors avg.,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,Resilience avg.,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,Central Africa,Angola,5.62,5.33,6.00,5.00,2.50,6.00,5.00,6.00,7.50,6.00,8.00,2.50,7.00,4.50,2.50,5.50,6.00,5.90,2.50,6.00,8.00,5.50,7.50,4.21,4.00,4.50,5.00,5.00,3.00,4.00,5.50,4.50,4.50,3.50,4.00,3.00
Africa,Central Africa,Burundi,4.73,4.67,8.50,5.50,5.50,7.50,6.50,6.00,2.00,4.00,4.00,3.50,2.50,3.50,2.00,1.50,7.50,4.80,1.00,4.00,8.50,4.50,6.00,2.33,3.00,1.50,2.50,3.00,2.00,1.50,3.00,2.50,2.00,1.50,3.00,2.50
Africa,Central Africa,Cameroon,6.18,6.27,6.50,5.50,7.00,7.50,7.50,5.50,7.50,7.50,7.00,3.50,3.50,7.00,7.00,5.00,6.50,6.10,3.50,7.50,8.50,7.50,3.50,3.13,2.00,2.00,5.50,4.50,2.50,3.50,2.00,3.50,2.50,2.50,3.00,4.00
Africa,Central Africa,Central African Republic,7.03,5.97,8.00,5.50,7.00,9.00,7.00,5.00,7.00,8.00,10.00,1.50,2.00,4.00,7.00,3.00,5.50,8.10,8.00,8.00,9.00,9.00,6.50,2.08,1.50,2.00,3.50,2.50,1.50,2.00,2.00,2.00,1.50,2.00,2.00,2.50
Africa,Central Africa,Chad,6.00,5.40,7.50,8.00,6.50,9.00,6.00,4.50,1.50,3.50,7.50,2.00,4.50,6.00,7.50,2.50,4.50,6.60,5.00,7.00,8.50,6.50,6.00,2.33,2.50,2.00,4.50,3.00,2.00,2.50,3.00,1.50,2.00,1.50,1.50,2.00
Africa,Central Africa,"Congo, Dem. Rep.",7.47,6.33,7.50,6.00,7.50,9.50,7.00,5.00,9.00,8.50,9.50,3.00,3.00,7.00,3.00,1.50,8.00,8.60,9.00,9.00,9.00,9.00,7.00,2.21,1.50,2.00,3.50,3.00,2.50,1.50,1.50,1.50,1.50,2.00,2.00,4.00
Africa,Central Africa,"Congo, Rep.",5.03,4.37,7.00,4.00,3.50,4.00,5.50,4.00,8.00,7.00,4.50,1.00,6.00,2.00,2.00,2.00,5.00,5.70,3.50,6.50,8.50,6.00,4.00,3.08,3.00,1.50,5.00,4.00,2.00,4.50,3.00,3.00,3.00,2.00,3.50,2.50
Africa,Central Africa,Equatorial Guinea,4.37,3.53,5.00,2.00,2.00,4.00,2.50,2.00,8.50,5.00,6.00,1.00,2.50,3.50,1.00,1.00,7.00,5.20,1.00,2.00,9.00,5.50,8.50,2.08,1.50,1.50,2.50,3.50,1.50,2.00,3.50,2.00,2.00,1.50,2.00,1.50
Africa,Central Africa,Gabon,4.70,4.50,5.50,5.50,1.00,2.50,7.00,4.00,8.50,7.00,3.00,2.50,3.00,4.00,5.00,2.50,6.50,4.90,1.00,4.50,7.50,6.00,5.50,3.50,3.00,2.50,4.50,4.00,3.00,4.50,5.00,2.00,3.00,3.00,3.50,4.00
Africa,Central Africa,Rwanda,3.87,4.13,5.50,2.50,1.00,6.00,6.00,4.00,2.00,4.00,8.50,3.00,3.00,4.00,1.50,4.50,6.50,3.60,2.00,3.00,6.00,4.00,3.00,5.00,4.50,4.00,5.00,6.00,4.50,5.50,6.50,5.50,5.50,5.00,5.50,2.50
Africa,Central Africa,Sao Tome and Principe,1.80,1.90,1.50,1.00,1.00,1.50,2.50,2.00,3.00,2.00,1.00,2.50,2.50,3.00,1.50,1.00,2.50,1.70,1.00,1.50,3.00,2.00,1.00,4.79,6.00,5.00,7.00,7.00,6.00,4.50,5.00,3.50,3.00,3.50,3.00,4.00
Africa,East Africa,Djibouti,4.85,4.50,7.00,8.00,3.00,8.00,6.00,6.00,1.50,6.00,4.00,3.00,2.00,3.50,1.00,2.00,6.50,5.20,1.00,6.00,6.00,7.00,6.00,4.08,3.50,3.00,6.50,4.50,3.50,4.00,5.00,5.00,4.50,2.50,4.00,3.00
Africa,East Africa,Eritrea,3.92,3.93,9.00,8.50,1.00,8.00,4.00,7.00,2.00,3.00,2.50,2.00,1.50,4.00,1.00,1.50,4.00,3.90,1.00,5.00,9.50,2.50,1.50,2.21,1.00,1.00,2.00,2.50,2.00,2.50,6.50,3.00,2.50,1.00,1.50,1.00
Africa,East Africa,Ethiopia,6.03,6.17,8.00,7.50,6.50,8.50,7.00,8.00,4.50,6.50,7.00,3.50,4.00,6.00,3.00,5.50,7.00,5.90,4.00,7.00,6.00,6.00,6.50,4.50,3.50,4.00,5.50,6.00,5.00,4.00,4.00,6.00,4.50,3.00,5.00,3.50
