STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,CZE,Czechia,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,153.946,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,NZL,New Zealand,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,152.392,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,PRT,Portugal,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,143.903,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,NLD,Netherlands,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,141.059,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,LUX,Luxembourg,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,140.086,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,ISL,Iceland,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,139.756,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,DEU,Germany,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,137.182,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,CAN,Canada,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,133.704,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,HUN,Hungary,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,132.804,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,Q,Quarterly,SVK,Slovak Republic,IMF_GHW_PTI,House price-to-income ratio around the world,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RO,Ratio,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021-Q4,131.488,IMF_GHW,"Global Housing Watch, House Price-to-Income Ratio Around the World",0,Units,RATIO,Ratio,608,CCYYQ,A,Normal value,PU,Public
