Entity,Code,Year,Number of people who cannot afford sufficient calories
Albania,ALB,2021,100000
Algeria,DZA,2021,0
Angola,AGO,2021,19000000
Armenia,ARM,2021,600000
Australia,AUS,2021,600000
Austria,AUT,2021,200000
Azerbaijan,AZE,2021,0
Bangladesh,BGD,2021,14100000
Belarus,BLR,2021,0
Belgium,BEL,2021,100000
Belize,BLZ,2021,200000
Benin,BEN,2021,2500000
Bhutan,BTN,2021,0
Bolivia,BOL,2021,400000
Bosnia and Herzegovina,BIH,2021,0
Botswana,BWA,2021,1000000
Brazil,BRA,2021,35799999
Bulgaria,BGR,2021,200000
Burkina Faso,BFA,2021,2200000
Burundi,BDI,2021,5599999
Cameroon,CMR,2021,8000000
Canada,CAN,2021,899999
Cape Verde,CPV,2021,0
Central African Republic,CAF,2021,2599999
Chad,TCD,2021,3099999
Chile,CHL,2021,6099999
China,CHN,2021,41799999
Colombia,COL,2021,12100000
Comoros,COM,2021,300000
Congo,COG,2021,3299999
Costa Rica,CRI,2021,300000
Cote d'Ivoire,CIV,2021,6400000
Croatia,HRV,2021,400000
Cyprus,CYP,2021,0
Czechia,CZE,2021,300000
Democratic Republic of Congo,COD,2021,57500000
Denmark,DNK,2021,0
Djibouti,DJI,2021,200000
Dominican Republic,DOM,2021,1100000
East Asia & Pacific (WB),,2021,110300003
Ecuador,ECU,2021,2700000
Egypt,EGY,2021,5599999
Estonia,EST,2021,0
Eswatini,SWZ,2021,500000
Ethiopia,ETH,2021,14500000
Europe & Central Asia (WB),,2021,37299999
Fiji,FJI,2021,300000
Finland,FIN,2021,0
France,FRA,2021,1299999
Gabon,GAB,2021,400000
Gambia,GMB,2021,300000
Germany,DEU,2021,1500000
Ghana,GHA,2021,10300000
Greece,GRC,2021,1600000
Grenada,GRD,2021,0
Guatemala,GTM,2021,5699999
Guinea,GIN,2021,1000000
Guinea-Bissau,GNB,2021,300000
Guyana,GUY,2021,100000
Haiti,HTI,2021,5099999
High-income countries,,2021,61500000
Honduras,HND,2021,1899999
Hungary,HUN,2021,600000
Iceland,ISL,2021,0
India,IND,2021,76500000
Indonesia,IDN,2021,27299999
Iran,IRN,2021,1500000
Iraq,IRQ,2021,3799999
Ireland,IRL,2021,0
Israel,ISR,2021,1299999
Italy,ITA,2021,3099999
Jamaica,JAM,2021,200000
Japan,JPN,2021,6300000
Jordan,JOR,2021,300000
Kazakhstan,KAZ,2021,200000
Kenya,KEN,2021,26299999
Kyrgyzstan,KGZ,2021,100000
Laos,LAO,2021,1500000
Latin America & Caribbean (WB),,2021,104300003
Latvia,LVA,2021,200000
Lebanon,LBN,2021,0
Lesotho,LSO,2021,1000000
Liberia,LBR,2021,1100000
Lithuania,LTU,2021,200000
Low-income countries,,2021,215500000
Lower-middle-income countries,,2021,417100006
Luxembourg,LUX,2021,0
Madagascar,MDG,2021,22899999
Malawi,MWI,2021,8500000
Malaysia,MYS,2021,200000
Maldives,MDV,2021,0
Mali,MLI,2021,2400000
Malta,MLT,2021,0
Mauritania,MRT,2021,600000
Mauritius,MUS,2021,100000
Mexico,MEX,2021,12199999
Middle East & North Africa (WB),,2021,40500000
Moldova,MDA,2021,100000
Mongolia,MNG,2021,0
Montenegro,MNE,2021,0
Morocco,MAR,2021,699999
Mozambique,MOZ,2021,18000000
Myanmar,MMR,2021,3400000
Namibia,NAM,2021,1200000
Nepal,NPL,2021,800000
Netherlands,NLD,2021,200000
Nicaragua,NIC,2021,600000
Niger,NER,2021,4800000
Nigeria,NGA,2021,123400001
North America (WB),,2021,8600000
North Macedonia,MKD,2021,200000
Norway,NOR,2021,100000
Pakistan,PAK,2021,20200000
Palestine,PSE,2021,100000
Panama,PAN,2021,1600000
Paraguay,PRY,2021,500000
Peru,PER,2021,5199999
Philippines,PHL,2021,17399999
Poland,POL,2021,1799999
Portugal,PRT,2021,1000000
Qatar,QAT,2021,0
Romania,ROU,2021,8800000
Russia,RUS,2021,800000
Rwanda,RWA,2021,4199999
Saint Lucia,LCA,2021,0
Sao Tome and Principe,STP,2021,0
Senegal,SEN,2021,2599999
Serbia,SRB,2021,200000
Seychelles,SYC,2021,0
Sierra Leone,SLE,2021,1399999
Slovakia,SVK,2021,699999
Slovenia,SVN,2021,0
South Africa,ZAF,2021,29299999
South Asia (WB),,2021,92099998
South Korea,KOR,2021,1200000
South Sudan,SSD,2021,7099999
Spain,ESP,2021,3299999
Sri Lanka,LKA,2021,699999
Sub-Saharan Africa (WB),,2021,474600006
Sudan,SDN,2021,3900000
Suriname,SUR,2021,100000
Sweden,SWE,2021,300000
Switzerland,CHE,2021,100000
Syria,SYR,2021,899999
Taiwan,TWN,2021,600000
Tajikistan,TJK,2021,600000
Tanzania,TZA,2021,31799999
Thailand,THA,2021,2099999
Togo,TGO,2021,1399999
Trinidad and Tobago,TTO,2021,400000
Tunisia,TUN,2021,0
Turkey,TUR,2021,2400000
Uganda,UGA,2021,16100000
United Arab Emirates,ARE,2021,200000
United Kingdom,GBR,2021,1500000
United States,USA,2021,7699999
Upper-middle-income countries,,2021,200500000
Uruguay,URY,2021,1000000
Uzbekistan,UZB,2021,1799999
Vietnam,VNM,2021,1799999
World,OWID_WRL,2021,859200012
Zambia,ZMB,2021,12500000
